school,student,variable,normexam_value,sex_value,schgend_value,type_value
1,143.0,normexam,0.2613242,F,mixed,Mxd
1,145.0,normexam,0.1340672,F,mixed,Mxd
1,142.0,normexam,-1.723882,M,mixed,Mxd
1,141.0,normexam,0.9675862,F,mixed,Mxd
1,138.0,normexam,0.5443412,F,mixed,Mxd
1,155.0,normexam,1.7348992,M,mixed,Mxd
1,158.0,normexam,1.0396082,M,mixed,Mxd
1,115.0,normexam,-0.129085,M,mixed,Mxd
1,117.0,normexam,-0.939378,F,mixed,Mxd
1,113.0,normexam,-1.219486,M,mixed,Mxd
1,112.0,normexam,2.4086922,M,mixed,Mxd
1,137.0,normexam,0.6107292,M,mixed,Mxd
1,134.0,normexam,-1.836687,M,mixed,Mxd
1,124.0,normexam,-0.129085,M,mixed,Mxd
1,121.0,normexam,2.2031212,M,mixed,Mxd
1,205.0,normexam,1.2405332,F,mixed,Mxd
1,208.0,normexam,1.7348992,F,mixed,Mxd
1,211.0,normexam,1.3101422,M,mixed,Mxd
1,202.0,normexam,-0.623051,M,mixed,Mxd
1,199.0,normexam,1.0396082,F,mixed,Mxd
1,198.0,normexam,-1.029067,F,mixed,Mxd
1,221.0,normexam,0.3280722,F,mixed,Mxd
1,212.0,normexam,-0.492781,M,mixed,Mxd
1,219.0,normexam,1.9003352,F,mixed,Mxd
1,215.0,normexam,0.8965662,M,mixed,Mxd
1,172.0,normexam,0.0735362,M,mixed,Mxd
1,177.0,normexam,0.1941492,M,mixed,Mxd
1,183.0,normexam,1.5061852,F,mixed,Mxd
1,175.0,normexam,1.9003352,M,mixed,Mxd
1,173.0,normexam,0.3280722,M,mixed,Mxd
1,197.0,normexam,0.8965662,M,mixed,Mxd
1,192.0,normexam,1.6618062,M,mixed,Mxd
1,193.0,normexam,-0.776109,M,mixed,Mxd
1,191.0,normexam,0.4026692,M,mixed,Mxd
1,188.0,normexam,0.9675862,M,mixed,Mxd
1,223.0,normexam,0.4781942,M,mixed,Mxd
1,27.0,normexam,0.1340672,M,mixed,Mxd
1,28.0,normexam,2.3136012,M,mixed,Mxd
1,31.0,normexam,-0.197611,M,mixed,Mxd
1,22.0,normexam,0.4781942,M,mixed,Mxd
1,43.0,normexam,0.8219882,M,mixed,Mxd
1,36.0,normexam,1.0396082,F,mixed,Mxd
1,4.0,normexam,-0.555112,F,mixed,Mxd
1,6.0,normexam,-1.335315,M,mixed,Mxd
1,7.0,normexam,-0.555112,M,mixed,Mxd
1,1.0,normexam,1.5061852,F,mixed,Mxd
1,19.0,normexam,-0.939378,,mixed,Mxd
1,16.0,normexam,2.3136012,F,mixed,Mxd
1,17.0,normexam,-0.062088,F,mixed,Mxd
1,14.0,normexam,-0.197611,M,mixed,Mxd
1,13.0,normexam,-0.197611,M,mixed,Mxd
1,109.0,normexam,2.0397092,F,mixed,Mxd
1,86.0,normexam,1.4395322,F,mixed,Mxd
1,88.0,normexam,0.3280722,F,mixed,Mxd
1,82.0,normexam,0.0735362,F,mixed,Mxd
1,80.0,normexam,0.9675862,F,mixed,Mxd
1,105.0,normexam,-1.029067,F,mixed,Mxd
1,108.0,normexam,1.7348992,M,mixed,Mxd
1,95.0,normexam,2.4086922,F,mixed,Mxd
1,90.0,normexam,-1.526653,M,mixed,Mxd
1,56.0,normexam,1.4395322,M,mixed,Mxd
1,62.0,normexam,1.8138272,M,mixed,Mxd
1,63.0,normexam,0.7472282,F,mixed,Mxd
1,59.0,normexam,-1.029067,M,mixed,Mxd
1,57.0,normexam,-0.129085,M,mixed,Mxd
1,73.0,normexam,1.5792202,M,mixed,Mxd
1,68.0,normexam,1.3101422,M,mixed,Mxd
1,64.0,normexam,-1.118624,F,mixed,Mxd
1,65.0,normexam,0.8965662,M,mixed,Mxd
1,66.0,normexam,0.2613242,M,mixed,Mxd
2,100.0,normexam,1.5792202,F,girls,Sngl
2,96.0,normexam,1.2405332,F,girls,Sngl
2,95.0,normexam,0.6107292,F,girls,Sngl
2,108.0,normexam,0.4781942,F,girls,Sngl
2,102.0,normexam,-1.118624,F,girls,Sngl
2,104.0,normexam,1.7348992,F,girls,Sngl
2,109.0,normexam,2.4086922,F,girls,Sngl
2,77.0,normexam,2.9246672,F,girls,Sngl
2,78.0,normexam,2.7018012,F,girls,Sngl
2,75.0,normexam,1.3101422,,girls,Sngl
2,91.0,normexam,1.5061852,F,girls,Sngl
2,84.0,normexam,-0.129085,F,girls,Sngl
2,87.0,normexam,-0.129085,F,girls,Sngl
2,134.0,normexam,0.6107292,F,girls,Sngl
2,135.0,normexam,3.1340482,F,girls,Sngl
2,132.0,normexam,2.2031212,F,girls,Sngl
2,131.0,normexam,0.5443412,F,girls,Sngl
2,143.0,normexam,-0.623051,F,girls,Sngl
2,137.0,normexam,1.4395322,F,girls,Sngl
2,138.0,normexam,1.0396082,F,girls,Sngl
2,110.0,normexam,0.0043222,F,girls,Sngl
2,112.0,normexam,0.4026692,F,girls,Sngl
2,113.0,normexam,-0.623051,F,girls,Sngl
2,111.0,normexam,1.3101422,F,girls,Sngl
2,129.0,normexam,-1.029067,F,girls,Sngl
2,119.0,normexam,2.4086922,F,girls,Sngl
2,115.0,normexam,0.8219882,F,girls,Sngl
2,147.0,normexam,0.6107292,F,girls,Sngl
2,31.0,normexam,2.7018012,F,girls,Sngl
2,26.0,normexam,1.7348992,F,girls,Sngl
2,38.0,normexam,0.4026692,,girls,Sngl
2,32.0,normexam,-1.962075,F,girls,Sngl
2,35.0,normexam,0.3280722,F,girls,Sngl
2,3.0,normexam,2.0397092,F,girls,Sngl
2,5.0,normexam,0.6107292,F,girls,Sngl
2,1.0,normexam,-0.555112,F,girls,Sngl
2,15.0,normexam,2.0397092,F,girls,Sngl
2,11.0,normexam,-0.623051,F,girls,Sngl
2,8.0,normexam,-1.118624,F,girls,Sngl
2,68.0,normexam,0.7472282,F,girls,Sngl
2,59.0,normexam,1.8138272,F,girls,Sngl
2,60.0,normexam,1.9771072,F,girls,Sngl
2,57.0,normexam,-1.219486,F,girls,Sngl
2,55.0,normexam,0.4026692,F,girls,Sngl
2,61.0,normexam,1.1094382,F,girls,Sngl
2,65.0,normexam,1.0396082,F,girls,Sngl
2,40.0,normexam,-0.265159,F,girls,Sngl
2,44.0,normexam,1.6618062,F,girls,Sngl
2,46.0,normexam,2.1029752,F,girls,Sngl
2,43.0,normexam,3.1340482,F,girls,Sngl
2,54.0,normexam,0.6107292,F,girls,Sngl
2,53.0,normexam,0.6107292,F,girls,Sngl
2,49.0,normexam,-1.335315,F,girls,Sngl
2,50.0,normexam,-0.85267,F,girls,Sngl
3,136.0,normexam,-0.197611,F,mixed,Mxd
3,169.0,normexam,2.9246672,F,mixed,Mxd
3,171.0,normexam,-0.699505,F,mixed,Mxd
